	p1	p2	q1	q2
1			201.498	211.623
2			207.374	197.289
3	48.754	47.434	92.642	91.389
4	95.538	106.866	140.883	146.887
5	55.299	71.386	102.956	97.015
6	64.669	69.596	93.678	89.588
7	44.045	45.967	105.245	110.533
8	56.859	60.008	120.978	128.745
9			149.773	133.309
10	50.22	52.479	103.619	106.815
11	97.737	92.595	96.97	105.506
12			124.776	145.158
13	80.082	65.265	102.579	128.717
14			139.807	154.48
15	99.298	79.025	136.186	141.239
16	84.194	65.004	124.44	126.115
17	80.419	80.82	137.165	134.181
18	76.485	72.49	91.175	107.584
19	70.359	69.468	116.28	109.856
20			136.971	140.973
21	73.007	71.322	97.745	96.255
22	69.921	81.025	98.717	123.944
23			92.973	96.897
24			145.097	135.518
25	88.814	79.12	105.948	113.846
26	72.56	69.893	140.39	154.294
27	80.131	69.462	124.755	131.074
28	97	114.546	112.755	103.377
29	52.631	51.478	100.185	121.95
30	76.551	101.639	115.744	107.162
31			160.818	155.828
32	52.773	46.957	71.344	77.026
33	81.394	80.957	104.544	100.779
34	64.195	57.801	137.418	128.925
35			137.099	130.257
36	41.785	42.799	116.781	123.903
37	90.603	96.288	112.543	114.634
38	56.294	53.009	121.062	125.603
39	56.118	76.626	82.63	98.765
40	66.483	44.495	107.564	117.571
41	80.422	60.075	100.366	97.575
42	66.408	51.478	167.048	162.178
43	67.374	59.892	101.355	115.175
44			127.012	146.245
45	69.116	56.727	118.914	119.262
46	85.866	71.561	78.839	88.527
47			123.022	147.299
48	79.706	61.685	89.32	109.681
49			147.464	141.711
50			72.615	64.444
