0	p1	p2	q1	q2
1	19.849	23.431	196.315	192.884
2	0	0	171.469	147.424
3	0	0	155.053	168.516
4	20.616	18.493	76.164	89.172
5	92.185	105.421	117.062	136.863
6	81.984	77.684	108.301	107.214
7	54.083	68.817	106.963	118.184
8	68.179	82.79	110.386	94.021
9	84.593	87.367	146.801	153.771
10	26.42	32.249	137.949	132.932
11	0	0	192.206	180.479
12	0	0	170.242	160.063
13	65.884	46.573	122.743	117.399
14	84.24	78.006	89.095	93.689
15	114.013	123.506	114.879	128.195
16	65.391	69.984	135.722	118.939
17	59.464	68.496	177.631	169.979
18	80.222	93.472	114.66	130
19	0	0	145.035	154.591
20	0	0	146.74	165.136
21	0	0	166.645	151.265
22	76.42	63.325	118.348	115.739
23	84.093	103.205	148.549	157.447
24	65.003	44.407	98.085	101.751
25	81.123	78.7	124.498	145.525
26	97.508	90.895	132.983	125.745
27	0	0	125.16	130.969
28	0	0	143.233	134.529
29	44.654	38.947	131.812	133.129
30	83.956	78.721	145.04	145.786
31	106.126	88.128	128.164	137.467
32	80.1	59.54	87.641	110.869
33	110.854	110.352	113.998	112.227
34	72.201	80.791	100.527	105.907
35	68.118	64.125	145.671	145.461
36	92.249	98	159.36	147.241
37	57.697	74.507	82.134	193.206
38	85.147	85.354	151.423	150.243
39	73.246	70.725	96.473	102.859
40	55.109	60.166	114.926	102.883
41	80.388	104.389	121.722	111.606
42	0	0	193.742	199.005
43	73.479	69.676	84.317	76.652
44	0	0	119.67	147.257
45	86.759	90.6	120.556	129.283
46	78.492	76.655	112.554	131.162
47	89.811	104.202	124.471	136.742
48	75.38	99.943	151.136	149.493
49	17.117	17.318	140.856	139.14
50	48.374	55.118	106.902	112.496
