0	p1	p2	q1	q2
1	42.544	59.401	100.192	109.405
2	65.97	62.29	112.205	112.642
3	56.143	63.819	166.729	142.563
4	69.561	65.856	145.795	147.171
5	21.633	21.378	107.062	114.257
6	98.255	88.233	122.501	129.117
7	64.498	68.066	102.475	92.39
8	55.027	56.08	105.152	111.557
9	64.351	72.443	80.363	79.31
10	0	0	99.745	125.771
11	0	0	149.738	117.551
12	0	0	135.456	127.79
13	34.713	30.529	106.438	100.481
14	17	11.705	118.226	128.692
15	0	0	120.008	121.272
16	0	0	121.706	153.556
17	0	0	158.412	130.956
18	17.692	15.62	144.89	145.094
19	21.633	29.833	132.234	143.592
20	59.203	71.424	112.941	98.887
21	46.098	49.244	103.49	99.837
22	0	0	169.534	157.841
23	0	0	137.853	133.156
24	69.007	68.196	102.611	88.405
25	75.675	84.599	106.683	104.806
26	39.661	42.426	102.308	106.049
27	0	0	114.162	114.801
28	0	0	130.842	121.989
29	0	0	137.527	123.381
30	78.421	75.961	69.426	87.322
31	0	0	129.263	120.186
32	0	0	124.239	121.149
33	0	0	106.923	112.739
34	0	0	107.91	113.47
35	21.84	18.682	100.937	113.789
36	0	0	134.601	136.683
37	12.53	16.401	99.419	120.501
38	0	0	133.277	130.97
39	0	0	100.754	112.856
40	0	0	128.902	146.77
41	0	0	152.518	170.003
42	0	0	127.872	117.351
43	0	0	144.925	110.849
44	0	0	130.945	128.17
45	65.93	73.141	109.642	111.811
46	35.128	38.897	107.005	120.208
47	75.179	64.217	81.313	90.91
48	0	0	97.933	121.701
49	29.12	20.616	84.529	99.366
50	0	0	106.154	130.467
