0	p1	p2	q1	q2
1	0	0	109.711	109.028
2	0	0	132.626	147.042
3	0	0	103	103.763
4	0	0	117.968	112.703
5	64.906	66.889	70.535	70.535
6	56.211	46.876	127.974	132.156
7	0	0	117.928	121.347
8	10	14.53	115.945	125.231
9	34.409	42.059	78.23	73.389
10	8.944	8.246	135.406	124.14
11	15.652	11.402	82.855	98.762
12	52.953	48.166	105.003	107.94
13	0	0	123.797	116.473
14	0	0	114.664	118.997
15	10.77	9.055	110.372	108.393
16	61.598	61.677	59.353	66.24
17	0	0	123.526	119.059
18	0	0	136.541	111.287
19	0	0	94.271	93.616
20	0	0	136.173	126.101
21	0	0	120.724	112.834
22	0	0	148.466	141.663
23	68.838	79.128	84.929	95.125
24	59.827	56.139	100.795	99.395
25	0	0	134.24	127.333
26	0	0	104.785	141.209
27	58.056	60.796	111.453	98.951
28	40.362	36.25	100.335	95.51
29	15.811	17.205	103.125	90.4
30	0	0	146.866	152.706
31	47.17	49.406	112.455	139.158
32	38.087	40.62	95.253	98.352
33	41.304	31.401	78.087	79.215
34	0	0	122.946	123.002
35	0	0	102.533	107.926
36	8.246	17	97.637	93.2
37	67	78.122	69.376	76.72
38	0	0	112.699	109.267
39	54.672	55.902	80.251	92.871
40	0	0	121.905	113.209
41	47.007	52.01	76.93	73.186
42	0	0	138.038	133.149
43	0	0	112.811	108.559
44	0	0	111.024	105.737
45	51.501	62.008	115.652	117.273
46	37.216	46.015	87.6	81.262
47	0	0	112.455	115.755
48	0	0	93.941	95.202
49	73.125	78.16	100.44	90.827
50	0	0	107.66	112.93
