0	p1	p2	q1	q2
1	95.726	87.468	91.929	93.857
2	86.33	71.279	102.297	91.033
3	89.585	78.577	90.605	82.209
4	36.401	30.463	112.177	110.209
5	0	0	138.654	130.628
6	0	0	162.632	166.01
7	35.609	26.907	92.634	94.692
8	0	0	131.669	134.629
9	0	0	129.903	121.726
10	0	0	133.374	163.465
11	0	0	132.006	131.036
12	57.428	52.773	96.925	107.403
13	0	0	103.942	115.679
14	69.942	65.299	120.485	114.622
15	0	0	140.617	134.302
16	0	0	115.209	141.229
17	0	0	100.388	133.82
18	0	0	105.786	124.138
19	0	0	130.714	118.805
20	68.71	71.694	71.176	70.235
21	73.817	66.189	121.755	131.566
22	53.14	60.257	99.242	99.65
23	85.795	93.169	112.287	114.482
24	0	0	113.086	110.398
25	70.895	78.128	84.682	85.288
26	0	0	123.338	127.181
27	0	0	107.743	109.212
28	0	0	124.197	132.549
29	76.158	79.624	91.761	95.985
30	0	0	108.139	122.131
31	0	0	115.261	129.569
32	0	0	127.367	128.517
33	0	0	142.761	154.728
34	0	0	156.045	134.018
35	0	0	125.782	124.451
36	0	0	139.274	156.795
37	0	0	116.214	135.007
38	0	0	138.974	146.594
39	26.42	31.401	103.052	109.165
40	0	0	119.727	131.909
41	0	0	110	103.652
42	61.62	73.783	127.094	140.353
43	0	0	124.198	117.637
44	0	0	132.291	124.153
45	66.129	64.846	116.559	112.563
46	23.77	24.839	92.578	84.315
47	0	0	145.606	131.341
48	47.854	62.29	79.702	81.721
49	0	0	140.602	137.539
50	0	0	127.872	130.495
