	p1	p2	q1	q2
1	35.341	48.27	117.974	127.875
2	87.476	92.69	95.447	104.466
3	37.483	46.325	112.144	123.463
4			143.472	141.933
5			109.918	112.726
6			128.725	113.258
7	17.493	25.495	106.311	105.301
8			131.819	145.613
9			148.114	133.774
10			110.944	133.843
11	84.865	80.162	87.829	102.073
12	69.606	76.943	114.875	110.043
13	27.203	42.953	112.377	103.693
14	75.027	86.564	79.217	101.842
15			114.826	142.613
16			139.842	144.486
17	32.016	36.222	90.96	105.06
18	73.17	87.907	94.195	96.674
19	64.288	69.116	83.36	77.666
20			134.305	119.139
21			138.305	128.064
22			133.36	138.369
23			142.555	164.128
24			108.342	117.886
25	9.899	11.402	98.04	124.576
26	9.434	15	125.814	116.035
27	49.93	53.729	81.884	86.556
28	18.111	16.492	139.091	144.338
29			123.458	114.869
30			130.03	109.635
31			130.06	137.104
32	42.107	46.098	119.038	97.908
33			138.566	137.457
34			126.735	129.213
35			130.737	126.836
36			115.421	128.016
37	56.939	59.034	130.897	109.469
38	76.322	61.774	93.229	79.076
39	56.613	53.759	105.355	93.113
40			139.318	130.801
41	50.329	47.927	87.727	87.664
42			127.818	129.958
43			129.541	110.734
44	62.008	73.756	82.855	73.595
45			155.129	155.021
46	72.835	60.075	110.104	119.451
47			116.362	123.653
48			123.943	121.05
49			129.306	111.886
50	17.493	21.633	107.155	95.386
