	p1	p2	q1	q2
1	81.357	88.751	81.243	97.507
2	101.272	109.105	103.565	125.014
3	79.896	77.743	99.816	111.898
4	59.405	64.778	109.602	101.351
5			171.862	161.473
6			191.737	178.064
7			202.969	178.958
8			162.725	179.368
9			147.341	175.135
10	20.025	28.636	127.323	159.199
11	29	29.155	143.729	145.831
12	70.105	87.144	100.183	103.158
13	75.012	80.629	154.474	137.231
14			168.991	161.343
15			148.912	153.253
16	34.54	36.715	102.533	102.65
17	75.166	77.253	70.264	86.493
18			174.895	178.341
19			146.471	159.735
20			175.437	142.017
21	63.466	65.392	123.554	111.74
22	98.112	109.531	123.894	110.52
23			178.729	168.823
24	9.22	11.045	119.193	124.616
25	65.115	66.491	94.757	89.008
26	23.022	32	110.345	116.851
27			145.334	226.163
28			140.977	135.682
29	92.063	100.439	115.687	117.323
30	33.526	30.871	131.762	131.468
31	65.299	70.114	167.608	172.239
32	25	17.464	115.514	112.66
33	69	76.4	142.765	152.043
34	46.4	38.419	146.09	137.462
35			139.641	148.446
36			154.172	195.32
37			174.765	171.639
38			165.267	159.791
39	21	21.095	179.059	155.981
40	37.947	38.471	129.68	141.388
41	24.331	28.071	130.946	120.134
42	25.06	39.56	125.444	133.357
43			129.808	150.42
44			150.489	158.556
45			152.434	161.307
46			160.121	150.214
47			177.256	151.744
48			129.036	135.37
49	19.313	18.439	143.434	121.824
50	81.345	89.004	135.593	140.703
